id;name;deleted;parent_id
1;Книги;false;null
2;Жанры;false;1
3;Подборки;false;1
4;Художественная литература;false;2
5;Нехудожественная литература;false;2
6;Детям и родителям;false;2
7;Книги для подростков;false;2
8;Все для школы;false;2
9;Бизнес-литература;false;2
10;Комиксы;false;2
11;Кулинария;false;2
12;Дом, досуг, хобби;false;2
13;Путешествия, путеводители;false;2
14;Профессиональная литература;false;2
15;Иностранные языки;false;2
16;Фантастика и фэнтези;false;4
17;Детективы, триллеры;false;4
18;Современная проза;false;4
19;Любовные романы;false;4
20;Исторический роман;false;4
21;Классика;false;4
22;Поэзия;false;4
23;Юмор;false;4
24;Психология и саморазвитие;false;5
25;Красота и здоровье;false;5
26;Искусство и культура;false;5
27;Спорт;false;5
28;Научно-популярные книги;false;5
29;Биографии, мемуары;false;5
30;Публицистика;false;5
31;Финансы, инвестиции;false;5
32;Религия, эзотерика;false;5
33;Энциклопедии, справочники;false;5
34;Книги для родителей;false;6
35;Первые книги для малышей;false;6
36;Логопедия, развитие речи;false;6
37;Развитие и подготовка к школе;false;6
38;Детская художественная литература;false;6
39;Досуг и увлечения детей;false;6
40;Энциклопедии для детей;false;6
41;Новогодние книги для детей;false;6
42;Классика для подростков;false;7
43;Книги про любовь для подростков;false;7
44;Комиксы, графические романы для подростков;false;7
45;Приключения, детективы для подростков;false;7
46;Триллеры, страшилки для подростков;false;7
47;Фантастика и фэнтези для подростков;false;7
48;Подготовка к школе;false;8
49;Подготовка к ОГЭ (ГИА);false;8
50;Подготовка к ЕГЭ;false;8
51;Справочники по всем предметам;false;8
52;Учебные пособия;false;8
53;Хрестоматии;false;8
54;Книги для внеклассного чтения;false;8
55;Читательские дневники;false;8
56;Тетради, дневники;false;8
57;Абитуриентам;false;8
58;Книги для руководителей;false;9
59;Переговоры;false;9
60;Истории успеха;false;9
61;Продажи, маркетинг, PR;false;9
62;Управление командой;false;9
63;Аэрогриль;false;11
64;Блюда из мяса и птицы;false;11
65;Блюда из рыбы и морепродуктов;false;11
66;Быстрые рецепты на каждый день;false;11
67;Вегетарианские и постные блюда;false;11
68;Выпечка и десерты;false;11
69;Готовим детям и с детьми;false;11
70;Готовим стейк;false;11
71;Закуски и салаты;false;11
72;Здоровое питание и похудение;false;11
73;Консервирование, заготовки;false;11
74;Мультиварка;false;11
75;Напитки;false;11
76;Национальная кухня;false;11
77;Праздничные рецепты;false;11
78;Рецепты завтраков;false;11
79;Сборники рецептов;false;11
80;Сервировка и украшение стола;false;11
81;Соусы и специи;false;11
82;Книги для записи рецептов;false;11
83;Творчество, рукоделие;false;12
84;Домоводство;false;12
85;Строительство и ремонт;false;12
86;Сад, огород;false;12
87;Домашние животные;false;12
88;Охота, рыбалка, грибы, ягоды;false;12
89;Игры, головоломки;false;12
90;Шахматы;false;12
91;Коллекционирование;false;12
92;Эротика и секс;false;12
93;Фотография;false;12
94;Книги о городах и странах;false;12
95;Книги о путешествиях;false;12
96;Путеводители;false;12
97;Разговорники;false;12
98;Личный транспорт, ПДД;false;14
99;Бухучет, налоги;false;14
100;Военное дело;false;14
101;Государство и право. Юриспруденция;false;14
102;Компьютерная литература;false;14
103;Медицина и здравоохранение;false;14
104;Философия, логика;false;14
105;Грамматические пособия;false;15
106;Словари;false;15
107;Книги на иностранных языках и билингвы;false;15
108;Канцтовары;false;null
109;Разделы;false;108
110;Бумажные изделия;false;109
111;Галантерея;false;109
112;Пеналы и рюкзаки;false;109
113;Прочие канцтовары;false;109
114;Товары для художников;false;109
115;Упаковка;false;109
116;Электротовары;false;109
117;Офисные принадлежности;false;109
118;Письменные принадлежности;false;109
119;Чертежные принадлежности;false;109
120;Школьные товары;false;109
121;Сувениры;false;null
122;Разделы;false;121
123;Дом, Быт, Декор;false;122
124;Игры и Игрушки;false;122
125;Личные вещи;false;122
126;Мелочи сувенирные;false;122
127;Открытки и постеры;false;122
128;Поздравительная атрибутика;false;122
129;Предсказания, пожелания , астрология, эзотерика;false;122
130;Сувенирные канцелярские и офисные принадлежности;false;122
131;Сувениры к празднику;false;122
132;Новинки литературы;false;3
133;Популярное;false;3
134;Скоро в продаже;false;3
